Id,R_2025_26,RM_2025_26,Nome,Squadra_2025_26,Qt.A_2025_26,Qt.I_2025_26,Diff._2025_26,Qt.A M_2025_26,Qt.I M_2025_26,Diff.M_2025_26,FVM_2025_26,FVM M_2025_26,Rm_2025_26,Pv_2025_26,Mv_2025_26,Fm_2025_26,Gf_2025_26,Gs_2025_26,Rp_2025_26,Rc_2025_26,R+_2025_26,R-_2025_26,Ass_2025_26,Amm_2025_26,Esp_2025_26,Au_2025_26,R_2022_23,RM_2022_23,Squadra_2022_23,Qt.A_2022_23,Qt.I_2022_23,Diff._2022_23,Qt.A M_2022_23,Qt.I M_2022_23,Diff.M_2022_23,FVM_2022_23,FVM M_2022_23,Rm_2022_23,Pv_2022_23,Mv_2022_23,Fm_2022_23,Gf_2022_23,Gs_2022_23,Rp_2022_23,Rc_2022_23,R+_2022_23,R-_2022_23,Ass_2022_23,Amm_2022_23,Esp_2022_23,Au_2022_23,R_2023_24,RM_2023_24,Squadra_2023_24,Qt.A_2023_24,Qt.I_2023_24,Diff._2023_24,Qt.A M_2023_24,Qt.I M_2023_24,Diff.M_2023_24,FVM_2023_24,FVM M_2023_24,Rm_2023_24,Pv_2023_24,Mv_2023_24,Fm_2023_24,Gf_2023_24,Gs_2023_24,Rp_2023_24,Rc_2023_24,R+_2023_24,R-_2023_24,Ass_2023_24,Amm_2023_24,Esp_2023_24,Au_2023_24,R_2024_25,RM_2024_25,Squadra_2024_25,Qt.A_2024_25,Qt.I_2024_25,Diff._2024_25,Qt.A M_2024_25,Qt.I M_2024_25,Diff.M_2024_25,FVM_2024_25,FVM M_2024_25,Rm_2024_25,Pv_2024_25,Mv_2024_25,Fm_2024_25,Gf_2024_25,Gs_2024_25,Rp_2024_25,Rc_2024_25,R+_2024_25,R-_2024_25,Ass_2024_25,Amm_2024_25,Esp_2024_25,Au_2024_25,Fattore_Fantahack,Media_Fantamedia_Ponderata,Media_Partite_Giocate_Ponderata,Top_Player,Unicorno,Probabilità_Top_Player,Top_Player_AI,Fattore_Fantahack_AI,Unicorno_AI,Squadra_AI
49,D,B;Ds;E,Muti,Torino,110,344,475,4,4,0,477,10,666,6,169,0,337,60,0,0,0,0,384,294,1,305,D,Ds;Dc;E,Udinese,8,6,2,8,7,1,6,6,666,11,5.91,6.36,2,0,0,0,0,0,0,2,0,0,D,Ds;Dc,Torino,5,6,-1,5,7,-2,11,14,666,15,5.87,5.8,0,0,0,0,0,0,0,2,0,0,D,B;Ds;E,Torino,8,6,2,8,7,1,12,15,666,24,5.96,6.12,1,0,0,0,0,0,3,5,0,0,0.3429160904709428,4.031999999999999,13.333333333333332,1,1,0.805,1,0.276047452829109,1,N.D.
52,N.D.,N.D.,Donarelli,N.D.,228,397,560,666,666,666,635,666,666,606,376,666,481,517,666,666,666,666,39,581,9,578,D,Dc,Sampdoria,2,2,0,2,2,0,2,2,666,6,5.83,5.58,0,0,0,0,0,0,0,3,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.372,0.4,0,0,0.0,0,0.0,0,N.D.
65,N.D.,N.D.,Mozart,N.D.,565,592,36,666,666,666,31,666,666,199,391,666,330,196,666,666,666,666,575,215,95,60,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,C,T,Cagliari,1,7,-6,2,6,-4,15,10,666,3,5.33,4.33,0,0,0,1,0,1,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.8659999999999999,0.5999999999999999,0,0,0.0,0,0.0,0,N.D.
76,N.D.,N.D.,Polizzi,N.D.,343,659,175,666,666,666,131,666,666,177,366,666,516,277,666,666,666,666,225,633,507,109,D,Dc,Lecce,1,3,-2,1,3,-2,4,4,666,4,5.62,5.62,0,0,0,0,0,0,0,0,0,0,D,Dc,Frosinone,7,5,2,7,5,2,13,13,666,33,5.83,5.83,1,0,0,0,0,0,0,6,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,1.5406666666666664,6.866666666666666,0,0,0.0,0,0.0,0,N.D.
84,N.D.,N.D.,Mogherini,N.D.,184,325,0,666,666,666,508,666,666,150,227,666,418,528,666,666,666,666,222,511,580,165,D,Dc,Monza,1,4,-3,1,4,-3,1,1,666,2,5.75,5.75,0,0,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.3833333333333333,0.1333333333333333,0,0,0.0,0,0.0,0,N.D.
90,N.D.,N.D.,Littizzetto,N.D.,48,238,100,666,666,666,70,666,666,504,555,666,479,404,666,666,666,666,63,560,288,379,A,Pc,Verona,5,11,-6,5,10,-5,10,8,666,24,5.77,5.9,1,0,0,0,0,0,1,2,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.3933333333333333,1.6,0,0,0.0,0,0.0,0,N.D.
133,P,Por,Pedroni,Bologna,513,54,129,10,10,0,13,49,666,145,462,0,2,16,0,0,0,0,443,602,189,530,P,Por,Bologna,13,11,2,13,11,2,32,32,666,37,6.19,4.97,0,49,2,0,0,0,0,4,0,0,P,Por,Bologna,15,10,5,15,10,5,65,65,666,32,6.17,5.33,0,29,1,0,0,0,0,2,0,0,P,Por,Bologna,13,11,2,13,11,2,40,40,666,27,6.17,5.04,0,33,1,0,0,0,0,1,0,0,0.2472809447155647,3.413333333333333,19.66666666666666,0,0,0.04,0,0.0098912377886225,0,Squadra_2_AI
139,N.D.,N.D.,Polani,N.D.,511,119,358,666,666,666,58,666,666,92,455,666,586,624,666,666,666,666,395,253,355,420,D,Dc,Lecce,2,4,-2,2,4,-2,2,2,666,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,D,Dc,Lecce,1,1,0,1,1,0,1,1,666,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.3666666666666666,0.0666666666666666,0,0,0.0,0,0.0,0,N.D.
140,D,Dd;Ds;E,Zampa,Lazio,554,315,651,3,3,0,414,6,666,545,153,0,359,546,0,0,0,0,64,2,322,482,D,Dd;Ds;E,Lazio,10,6,4,10,6,4,20,23,666,30,5.97,6.05,1,0,0,0,0,0,1,3,0,0,D,Dd;Ds;E,Lazio,4,7,-3,4,8,-4,15,20,666,20,5.7,5.65,0,0,0,0,0,0,0,2,0,0,D,Dd;Ds;E,Lazio,5,4,1,5,5,0,6,8,666,8,5.88,6.12,0,0,0,0,0,0,3,0,1,0,0.2303362831014238,3.981333333333332,9.2,0,0,0.045,0,0.010365132739564,0,N.D.
142,N.D.,N.D.,Chindamo,N.D.,610,459,454,666,666,666,328,666,666,544,190,666,457,332,666,666,666,666,610,642,194,194,D,Ds;E,Napoli,9,9,0,9,9,0,27,27,666,22,6.11,6.25,0,0,0,0,0,0,5,2,1,0,D,Ds;E,Napoli,3,10,-7,3,10,-7,25,25,666,19,5.82,5.74,0,0,0,0,0,0,2,5,1,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,1.5646666666666664,5.266666666666666,0,0,0.0,0,0.0,0,N.D.
144,N.D.,N.D.,Serraglio,N.D.,181,177,2,666,666,666,620,666,666,192,555,666,432,537,666,666,666,666,462,257,196,600,D,Dc,Empoli,2,1,1,2,1,1,1,1,666,1,5.5,5.5,0,0,0,0,0,0,0,0,0,0,D,Dc,Empoli,1,1,0,1,1,0,2,2,666,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.3666666666666666,0.0666666666666666,0,0,0.0,0,0.0,0,N.D.
148,N.D.,N.D.,Cardano,N.D.,477,69,394,666,666,666,613,666,666,15,448,666,619,137,666,666,666,666,272,627,188,72,C,C;T,Milan,6,7,-1,6,6,0,13,13,666,22,5.95,5.82,0,0,0,0,0,0,1,8,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.388,1.4666666666666666,0,0,0.0,0,0.0,0,N.D.
150,N.D.,N.D.,Valier,N.D.,391,391,429,666,666,666,124,666,666,579,131,666,263,80,666,666,666,666,527,666,448,406,C,W;T,Fiorentina,12,11,1,12,11,1,17,19,666,24,6.06,6.6,4,0,0,0,0,0,3,4,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.4399999999999999,1.6,0,0,0.0,0,0.0,0,N.D.
152,C,C;T,Fanucci,Inter,205,239,544,4,4,0,535,12,666,261,244,0,283,273,0,0,0,0,666,128,6,251,C,C;T,Napoli,20,19,1,20,19,1,61,61,666,37,6.3,6.72,3,0,0,0,0,0,8,3,0,0,C,C;T,Napoli,11,20,-9,11,20,-9,30,30,666,27,5.94,6.33,3,0,0,1,1,0,2,1,0,0,C,C;T,Inter,9,11,-2,9,11,-2,16,16,666,20,5.98,6.32,2,0,0,2,2,0,1,0,0,0,0.3703039546576555,4.241999999999999,15.866666666666664,1,1,0.81,1,0.299946203272701,1,N.D.
158,P,Por,Trussardi,Fiorentina,381,205,92,1,1,0,220,1,666,298,391,0,631,463,0,0,0,0,328,638,257,440,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.0,0.0,0,0,0.0,0,0.0,0,N.D.
159,N.D.,N.D.,Bernini,N.D.,99,568,536,666,666,666,588,666,666,309,258,666,356,66,666,666,666,666,353,1,121,12,P,Por,Salernitana,8,8,0,8,8,0,1,1,666,17,6.29,5.15,0,27,3,0,0,0,0,3,0,0,P,Por,Lazio,1,1,0,1,1,0,1,1,666,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.3433333333333332,1.1333333333333333,0,0,0.0,0,0.0,0,N.D.
160,N.D.,N.D.,Beccaria,N.D.,482,298,526,666,666,666,322,666,666,536,191,666,101,561,666,666,666,666,455,76,406,404,P,Por,Milan,5,1,4,5,1,4,1,1,666,16,6.0,4.62,0,22,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.308,1.0666666666666669,0,0,0.0,0,0.0,0,N.D.
170,N.D.,N.D.,Tasso,N.D.,622,11,473,666,666,666,111,666,666,400,241,666,194,358,666,666,666,666,372,404,146,391,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,C,M;C,Genoa,11,5,6,11,6,5,23,28,666,32,6.05,6.14,1,0,0,0,0,0,3,6,0,0,C,M;C,Genoa,6,6,0,6,6,0,13,18,666,22,5.98,6.05,1,0,0,0,0,0,0,3,0,0,0.0,3.6479999999999992,15.199999999999996,0,0,0.09,0,0.0,0,N.D.
181,C,M;C,Gabbana,Lazio,516,177,150,6,6,0,620,15,666,108,287,0,147,94,0,0,0,0,445,270,11,470,C,M;C,Lazio,9,6,3,9,7,2,10,11,666,30,5.95,6.05,2,0,0,0,0,0,0,6,0,0,C,M;C,Lazio,18,6,12,18,7,11,27,30,666,25,6.16,6.78,6,0,0,0,0,0,1,8,0,0,C,M;C,Lazio,11,7,4,11,8,3,11,14,666,18,6.14,6.44,2,0,0,0,0,0,3,7,0,0,0.2792188450018772,4.335333333333333,14.199999999999996,1,0,0.98,1,0.2736344681018396,1,Squadra_1_AI
184,C,W;A,Buscetta,Bologna,583,306,376,8,8,0,595,25,666,266,274,0,156,620,0,0,0,0,208,588,418,438,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.0,0.0,0,0,0.0,0,0.0,0,N.D.
186,N.D.,N.D.,Franscini,N.D.,651,170,345,666,666,666,165,666,666,366,454,666,272,335,666,666,666,666,238,666,624,414,A,A,Milan,10,14,-4,10,14,-4,12,12,666,18,5.86,6.39,3,0,0,0,0,0,2,4,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,A,A,Lecce,5,4,1,5,4,1,8,8,666,18,5.89,5.92,1,0,0,0,0,0,0,3,1,0,0.0,2.794,8.399999999999999,0,0,0.0,0,0.0,0,N.D.
188,P,Por,Simeoni,Genoa,422,169,577,8,8,0,595,28,666,649,484,0,350,9,0,0,0,0,144,433,108,286,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,P,Por,Genoa,2,1,1,2,1,1,1,1,666,2,6.5,5.25,0,2,0,0,0,0,0,1,0,0,P,Por,Genoa,13,1,12,13,1,12,30,30,666,29,6.16,5.1,0,31,1,0,0,0,0,1,0,1,0.1640017618120964,3.0899999999999994,11.999999999999998,0,0,0.015,0,0.0024600264271814,0,Squadra_5_AI
212,N.D.,N.D.,Lupo,N.D.,91,235,472,666,666,666,372,666,666,561,425,666,179,656,666,666,666,666,54,490,93,559,A,Pc,Cremonese,19,1,18,19,1,18,18,16,666,22,6.11,7.05,8,0,0,4,3,1,0,1,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.47,1.4666666666666666,0,0,0.0,0,0.0,0,N.D.
215,N.D.,N.D.,Tozzo,N.D.,23,492,186,666,666,666,88,666,666,325,386,666,115,627,666,666,666,666,12,359,481,195,A,A,Spezia,10,18,-8,10,18,-8,16,16,666,22,5.93,6.32,3,0,0,1,1,0,0,1,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.4213333333333333,1.4666666666666666,0,0,0.0,0,0.0,0,N.D.
216,P,Por,Ciampi,Torino,431,218,70,1,1,0,442,1,666,364,415,0,400,645,0,0,0,0,41,633,511,513,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,P,Por,Torino,1,1,0,1,1,0,1,1,666,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,N.D.
217,N.D.,N.D.,Papafava,N.D.,121,573,276,666,666,666,63,666,666,442,469,666,598,526,666,666,666,666,187,71,476,291,P,Por,Monza,1,1,0,1,1,0,1,1,666,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.0,0.0,0,0,0.0,0,0.0,0,N.D.
218,P,Por,Pizzetti,Juventus,182,348,47,1,1,0,588,2,666,448,396,0,534,148,0,0,0,0,468,541,131,139,P,Por,Juventus,9,1,8,9,1,8,4,4,666,11,6.41,6.05,0,7,1,0,0,0,0,0,0,0,P,Por,Juventus,4,1,3,4,1,3,2,2,666,3,6.0,5.67,0,1,0,0,0,0,0,0,0,0,P,Por,Juventus,2,2,0,2,2,0,1,1,666,5,6.1,5.5,0,3,0,0,0,0,0,0,0,0,0.1598713602014106,3.737333333333333,3.333333333333333,0,0,0.005,0,0.000799356801007,0,N.D.
219,P,Por,Marcacci,Genoa,534,173,315,1,1,0,220,1,666,225,303,0,192,52,0,0,0,0,568,420,514,92,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,P,Por,Genoa,1,1,0,1,1,0,1,1,666,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,P,Por,Genoa,3,1,2,3,1,2,1,1,666,1,7.0,6.0,0,1,0,0,0,0,0,0,0,0,0.0203672197864349,2.3999999999999995,0.3999999999999999,0,0,0.005,0,0.0001018360989321,0,N.D.
220,N.D.,N.D.,Ferrabosco,N.D.,565,188,215,666,666,666,480,666,666,580,539,666,656,45,666,666,666,666,460,286,496,157,P,Por,Empoli,1,1,0,1,1,0,1,1,666,1,5.5,4.5,0,1,0,0,0,0,0,0,0,0,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,N.D.,N.D.,N.D.,666,666,666,666,666,666,666,666,666,666,666.0,666.0,666,666,666,666,666,666,666,666,666,666,0.0,0.3,0.0666666666666666,0,0,0.0,0,0.0,0,N.D.
226,N.D.,N.D.,Abate,N.D.,7,622,71,666,666,666,457,666,666,335,416,666,378,289,666,666,666,666,231,505,559,441,D,Dd;Dc,Monza,8,3,5,8,3,5,21,21,666,29,6.03,5.97,1,0,0,0,0,0,0,10,0,0,D,Dc,Monza,4,8,-4,4,8,-4,18,18,666,20,5.82,5.62,0,0,0,0,0,0,0,9,0,0,D,Dc,Monza,4,6,-2,4,6,-2,12,14,666,28,5.75,5.68,1,0,0,0,0,0,1,12,0,0,0.0,3.793999999999999,17.133333333333333,1,0,0.675,1,0.0,0,N.D.
